time,elo_final
G2,1666.6296718136516
PRX,1584.5542716450534
FNC,1583.866843561249
SEN,1583.5766759140106
TH,1554.0068392655548
RRQ,1552.7446356291962
MIBR,1526.874524208222
XLG,1515.9223269725817
