data,evento,time_a,time_b,vencedor,resultado,mapa_1,rounds_time_a_mapa_1,rounds_time_b_mapa_1,mapa_2,rounds_time_a_mapa_2,rounds_time_b_mapa_2,mapa_3,rounds_time_a_mapa_3,rounds_time_b_mapa_3,mapa_4,rounds_time_a_mapa_4,rounds_time_b_mapa_4,mapa_5,rounds_time_a_mapa_5,rounds_time_b_mapa_5
2025-04-13,VCT 25: AMER Stage 1,MIBR,NRG,MIBR,2-0,Haven,13,6,Icebox,13,5,,,,,,,,,
2025-04-06,VCT 25: AMER Stage 1,MIBR,C9,MIBR,2-1,Pearl,9,13,Lotus,15,13,Haven,13,11,,,,,,
2025-03-29,VCT 25: AMER Stage 1,MIBR,G2,G2,1-2,Pearl,14,12,Haven,11,13,Ascent,8,13,,,,,,
2025-03-22,VCT 25: AMER Stage 1,MIBR,LEV,MIBR,2-0,Split,13,7,Icebox,13,8,,,,,,,,,
2025-02-07,VCT 25: AMER Kickoff,MIBR,SEN,SEN,1-3,Lotus,7,13,Abyss,5,13,Pearl,21,19,Split,7,13,,,
2025-02-06,VCT 25: AMER Kickoff,MIBR,KRU,MIBR,2-1,Bind,8,13,Abyss,13,8,Split,13,11,,,,,,
2025-02-02,VCT 25: AMER Kickoff,MIBR,LEV,MIBR,2-1,Lotus,7,13,Pearl,13,9,Split,14,12,,,,,,
2025-02-01,VCT 25: AMER Kickoff,MIBR,EG,MIBR,2-0,Abyss,13,10,Split,13,3,,,,,,,,,
2025-01-23,VCT 25: AMER Kickoff,MIBR,C9,MIBR,2-1,Lotus,7,13,Abyss,13,10,Pearl,13,7,,,,,,
2025-01-16,VCT 25: AMER Kickoff,MIBR,100T,100T,0-2,Lotus,4,13,Bind,9,13,,,,,,,,,
2025-05-25,EWC 2025: PAC Qualifier,PRX,DRX,PRX,3-1,Ascent,8,13,Sunset,13,7,Lotus,13,11,Icebox,13,6,,,
2025-05-24,EWC 2025: PAC Qualifier,PRX,TS,PRX,2-0,Pearl,13,5,Split,13,11,,,,,,,,,
2025-05-22,EWC 2025: PAC Qualifier,PRX,GE,PRX,1-0,Icebox,13,8,,,,,,,,,,,,
2025-05-22,EWC 2025: PAC Qualifier,PRX,T1,PRX,1-0,Lotus,13,8,,,,,,,,,,,,
